暴涨	2.0
牛市	2.0
看涨	2.0
爆涨	2.0
大牛市	2.0
狂涨	2.0
涨停	1.6
利好	1.594
涨停板	1.5
飙涨	1.5
低估	1.5
绩优	1.46
牛股	1.4
飙升	1.38
赢利	1.36
大利	1.3
看好	1.3
跟进	1.26
抄底	1.25
满仓	1.25
重仓股	1.24
开涨	1.23
涨到	1.23
增持	1.211
增仓	1.2
新龙头	1.2
涨	1.2
涨板	1.19
买进	1.14
加仓	1.14
优	1.14
涨涨	1.1
追进	1.1
重仓	1.1
上攻	1.05
好股	1.0
好	1.0
机不可失	1.0
止跌	1.0
大牛股	1.0
涨起来	1.0
有戏	1.0
看高	1.0
该涨	1.0
英雄	1.0
兴奋	1.0
大增	1.0
千载难逢	0.999
胜利	0.999
增资	0.98
白马股	0.98
狂拉	0.966
逆转	0.965
探底	0.964
逢低买进	0.963
小涨	0.96
好消息	0.96
大阳	0.9544
申购	0.952
接盘	0.952
买入	0.952
收盈	0.942
赞成	0.94
升势	0.93
补涨	0.916
红利	0.913
稳赚	0.9
反弹	0.9
绩优股	0.899
张停	0.896
净赚	0.896
狂飙	0.896
上车	0.896
赚	0.892
新股	0.89
黑马	0.89
快速增长	0.888
幸运	0.886
抢反弹	0.88
操底	0.88
认购	0.8795
加油	0.874
逆袭	0.869
成功	0.861
扭亏	0.861
美好	0.86
必涨	0.86
太爽了	0.86
牛人	0.86
进场	0.86
牛	0.86
涨势	0.86
购买	0.856
狂奔	0.8552
太牛	0.853
无风险	0.852
爆炒	0.852
抢入	0.852
降准	0.851
降息	0.851
下单	0.85
完美	0.85
带领	0.85
一马平川	0.85
蓄势	0.841
翻番	0.841
增长	0.83
有效	0.829
创新	0.8214
舒服	0.821
分红	0.82
有利可图	0.81
追入	0.8
重组	0.8
接手	0.8
珍惜	0.8
猛干	0.8
走高	0.8
挣	0.8
吊	0.8
积极	0.8
入场	0.798
暗喜	0.796
优质	0.792
金子	0.791
接货	0.79
向上	0.789
顺利	0.785
吸货	0.785
大势	0.782
建仓	0.769
增发	0.7654
利多	0.765
长阳	0.765
赚到	0.765
好事	0.7635
第一	0.763
热烈庆祝	0.763
强势股	0.762
别错过	0.761
信心	0.76
聪明	0.76
绝佳	0.76
强力	0.7598
拉升	0.759
爽	0.7551
最佳	0.752
赞	0.75
涨回去	0.75
暴增	0.75
预增	0.75
暴利	0.75
盘绩优	0.746
疯长	0.743
上升	0.7411
快乐	0.741
跟庄	0.741
杀进	0.741
多方	0.741
夯实	0.741
勇猛	0.741
大好	0.741
坚持	0.74
冲顶	0.74
好时机	0.739
抓住	0.73
收获	0.72
抢筹	0.719
领头羊	0.716
买到	0.713
乐观	0.712
合适	0.71
正规	0.71
增厚	0.71
开心	0.7
佳	0.7
大手笔	0.7
热烈祝贺	0.7
高涨	0.7
上涨	0.7
阳线	0.7
赢	0.7
认可	0.699
买买	0.698
起航	0.698
扩股	0.698
红	0.698
亮点	0.698
再创新高	0.698
强庄	0.696
捡钱	0.695
飚	0.6948
稳健	0.69
高兴	0.69
护盘	0.69
盈	0.69
买点	0.69
冲上	0.682
流入	0.68
整合	0.68
崛起	0.679
抢盘	0.67
翻红	0.67
坐好	0.67
春天	0.659
关心	0.65
收购	0.65
高品位	0.649
并购	0.649
持股	0.642
冲锋	0.64
精华	0.64
强劲	0.64
